track_id,track_name,artist_name,danceability,energy,tempo,valence
6p8eEdiZLKJH8tcjGZuNTK,Run,Joji,0.447,0.72,157.892,0.362
5troof8mcGO3AafoDbk1gc,Look What You Made Me Do,Taylor Swift,0.766,0.709,128.07,0.506
7fJv128BqCw23AmENDqJuj,Breathe,Astrid S,0.736,0.72,96.991,0.514
2VyZWWKamfq7kVnh5gMgPd,∞ LOVE (feat. Guè),"Marracash, Guè",0.726,0.828,125.002,0.307
5A1w94uzc1kO1Zhe8WWxC3,Right Back,Khalid,0.788,0.427,97.03,0.603
5ffntNJnJOeFv7b7DCd0Bw,Takin' Shots,Post Malone,0.762,0.621,120.056,0.593
2VKf0WEOpq06JE5PTNr9wa,Jettski Grizzley (feat. Lil Pump),"Tee Grizzley, Lil Pump",0.875,0.878,100.042,0.381
1Wf14bTyb6UeKojy8ykPYm,Happy Holiday / The Holiday Season,Andy Williams,0.462,0.402,148.956,0.7
7qoIhutxU269Zqo9PG5IOj,Poesia Acústica 13,"Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A",0.572,0.579,127.982,0.5
05X6aMCQR09E6smUmw9qms,Thank God It's Christmas - Non-Album Single,Queen,0.296,0.421,83.425,0.335
7fesNTgTEMEH0ye8MOgEDY,teenage dream,Olivia Rodrigo,0.422,0.229,135.82,0.104
4OtHGdb0KqEbaWb6edUnR9,Cut You Off,Selena Gomez,0.855,0.294,139.745,0.842
577YBGuskWkVDCxZrLRB4v,Pure Cocaine,Lil Baby,0.964,0.487,127.05,0.107
37BZB0z9T8Xu7U3e65qxFy,Save Your Tears (with Ariana Grande) (Remix),"The Weeknd, Ariana Grande",0.65,0.825,118.091,0.593
42lqBjPYlmL1EXpMDXvhSN,Somebody’s Problem,Morgan Wallen,0.658,0.538,136.967,0.62
6VsvKPJ4xjVNKpI8VVZ3SV,invisible string,Taylor Swift,0.653,0.452,83.433,0.45
0as7lPxkBPctZ7uVmchRNM,Miss You (with Major Lazer & Tory Lanez),"Cashmere Cat, Major Lazer, Tory Lanez",0.753,0.646,100.0,0.438
5PB8zB1MOZASboLquvinMF,Reggaetón Lento (Remix),"CNCO, Little Mix",0.623,0.909,93.984,0.651
23luOrEVHMfoX0AhfbQuS6,FEAR.,Kendrick Lamar,0.588,0.479,150.414,0.434
35D06z7kmwMmYYbyJ0BkSm,Daqui pra Sempre,"Manu, Simone Mendes",0.571,0.95,159.881,0.543
0FqBNLXlTNimxmVRdDMj6b,1AM FREESTYLE,Joji,0.615,0.541,126.049,0.124
6OzUIp8KjuwxJnCWkXp1uL,Besos Moja2,"Wisin & Yandel, ROSALÍA",0.736,0.727,94.048,0.644
20dP2DaMHIAmwWAbp7peSr,pick up the phone,"Young Thug, Travis Scott",0.711,0.739,136.919,0.43
0ug5NqcwcFR2xrfTkc7k8e,Style,Taylor Swift,0.588,0.791,94.933,0.487
7nD2JPaxIKUdxd2UWgnaGL,Toda - Remix,"Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu, Lyanno",0.512,0.451,80.04,0.368
0QHEIqNKsMoOY5urbzN48u,Made You Look,Meghan Trainor,0.838,0.525,144.981,0.884
3pHkh7d0lzM2AldUtz2x37,The Archer,Taylor Swift,0.292,0.574,124.344,0.166
51Fjme0JiitpyXKuyQiCDo,Lalala,"Y2K, bbno$",0.843,0.39,129.972,0.495
6IAZHEBUIGJ6NJKxxOBIEr,Rolling in the Deep,Adele,0.73,0.769,104.948,0.507
2kJwzbxV2ppxnQoYw4GLBZ,If the World Was Ending (feat. Julia Michaels),"JP Saxe, Julia Michaels",0.464,0.473,75.801,0.604
7mFj0LlWtEJaEigguaWqYh,Sweetest Pie,"Megan Thee Stallion, Dua Lipa",0.814,0.628,123.977,0.677
1NvpO1o8SpkdH3txtJQQc7,Lemon Tree,Post Malone,0.611,0.584,116.106,0.181
1CCDIow4pPYyJYzhtTUYz2,RAW SHIT (feat. Migos),"DaBaby, Migos",0.874,0.714,130.046,0.85
2alc8VZAzDgdAsL2QMk3hu,Skechers,DripReport,0.903,0.327,100.008,0.274
54u86CmMqGI1rRuULlTqaB,Toca o Trompete,Felipe Amorim,0.947,0.75,124.993,0.961
3oZ6dlSfCE9gZ55MGPJctc,’98 Braves,Morgan Wallen,0.488,0.67,142.139,0.484
72TyiiduRmczEbDIEtKQdR,Wasted Times,The Weeknd,0.562,0.674,122.699,0.293
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"benny blanco, Halsey, Khalid",0.56,0.68,89.391,0.319
2KnLkZ3z7PO3kgVGHGqDpD,It'll Be Okay,Shawn Mendes,0.398,0.286,78.262,0.0666
3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,Lil Uzi Vert,0.729,0.603,134.972,0.207
2BEcap3xJtmiPaHKyfQi4e,Nostálgico,"Rvssian, Rauw Alejandro, Chris Brown",0.734,0.846,98.026,0.604
